Tahun,Provinsi,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2023,Bali,2976.31,1086351.56
2023,Banten,4173.96,1523494.9100000001
2023,D.I. Yogyakarta,1206.21,440267.75
2023,DKI Jakarta,8607.27,3141650.18
2023,Jawa Barat,8494.35,3100437.11
2023,Jawa Tengah,10446.13,3812835.63
2023,Jawa Timur,12356.09,4509970.46
2022,Bali,2814.89,1027433.75
2022,Banten,7199.63,2627865.54
2022,D.I. Yogyakarta,1454.93,531052.47
2022,DKI Jakarta,8527.07,3112381.41
2022,Jawa Barat,13410.01,4894648.33
2022,Jawa Tengah,16175.5,5904061.08
2022,Jawa Timur,15388.7,5616863.25
